Word/Phrase,TF-IDF_Average,Primary_Sentiment,Sentiment_Coefficient,negative_coef,neutral_coef,positive_coef
they were,0.004790085531601067,positive,0.4710965865013057,-0.2398840834889694,-0.2312125030123368,0.4710965865013057
the baristas,0.004786817236126998,positive,0.6908487736279053,-0.503303047390737,-0.18754572623717053,0.6908487736279053
did,0.004770089116692539,neutral,0.4654991739296833,-0.16181420762386783,0.4654991739296833,-0.30368496630581443
give,0.004766004429430502,positive,-0.590627996737925,0.22233016389257226,0.36829783284535406,-0.590627996737925
took,0.004759149824368983,positive,-0.6806854999085115,0.40924186558132347,0.2714436343271891,-0.6806854999085115
again,0.004752795081346799,negative,0.6459113015475014,0.6459113015475014,-0.36160068334916634,-0.2843106181983335
have to,0.00473116959896481,positive,-0.5071856047226279,0.0336039671535253,0.4735816375691016,-0.5071856047226279
think,0.004701331160135062,negative,0.018875332795571804,0.018875332795571804,-0.016814268938929365,-0.002061063856643086
another,0.004681249254879388,negative,0.7935522055141065,0.7935522055141065,-0.055527618680940256,-0.7380245868331657
first,0.00465902521876323,negative,0.4001079199050424,0.4001079199050424,-0.33752435913480605,-0.06258356077023748
same,0.004655302019928892,positive,-0.524994167555186,0.10002093795194206,0.42497322960324496,-0.524994167555186
many,0.004645906017917241,positive,0.2413942843881089,-0.22683406833411895,-0.014560216053988835,0.2413942843881089
